ano,mes,datahora,estado,riscofogo,riscoAbsoluto
2019,Fevereiro,2019/02/21 04:00:00,BAHIA,0.83,1
2019,Fevereiro,2019/02/21 04:00:00,BAHIA,0.21,0
2019,Fevereiro,2019/02/21 04:00:00,BAHIA,0.06,0
2019,Fevereiro,2019/02/21 04:00:00,BAHIA,0.4,0
2019,Fevereiro,2019/02/21 04:00:00,BAHIA,0.4,0
2019,Fevereiro,2019/02/21 04:00:00,BAHIA,0.39,0
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,1,1
2019,Fevereiro,2019/02/21 05:30:00,RORAIMA,0.83,1
2019,Fevereiro,2019/02/23 05:20:00,RORAIMA,0.86,1
2019,Fevereiro,2019/02/23 05:20:00,RORAIMA,1,1
2019,Fevereiro,2019/02/23 05:20:00,RORAIMA,1,1
2019,Fevereiro,2019/02/23 05:20:00,RORAIMA,1,1
2019,Fevereiro,2019/02/23 05:20:00,RORAIMA,0.95,1
2019,Fevereiro,2019/02/23 05:20:00,RORAIMA,0.98,1
2019,Fevereiro,2019/02/23 05:20:00,RORAIMA,0.98,1
2019,Fevereiro,2019/02/23 05:20:00,RORAIMA,1,1
2019,Fevereiro,2019/02/23 05:20:00,PARA,0.08,0
2019,Fevereiro,2019/02/24 04:30:00,SAO PAULO,1,1
2019,Fevereiro,2019/02/24 04:30:00,MINAS GERAIS,0.26,0
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,1,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,1,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,1,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,1,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,0.94,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,0.94,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,0.94,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,0.94,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,0.96,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,0.97,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,0.97,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,1,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,1,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,1,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,1,1
2019,Fevereiro,2019/02/24 06:05:00,RORAIMA,1,1
2019,Fevereiro,2019/02/25 03:35:00,MINAS GERAIS,0.1,0
2019,Fevereiro,2019/02/25 05:10:00,RORAIMA,1,1
2019,Fevereiro,2019/02/25 05:10:00,RORAIMA,1,1
2019,Fevereiro,2019/02/25 05:10:00,RORAIMA,1,1
2019,Fevereiro,2019/02/25 05:10:00,RORAIMA,1,1
2019,Fevereiro,2019/02/25 05:10:00,RORAIMA,1,1
2019,Fevereiro,2019/02/25 05:10:00,RORAIMA,1,1
2019,Fevereiro,2019/02/25 05:10:00,RORAIMA,1,1
2019,Fevereiro,2019/02/25 05:10:00,RORAIMA,0.89,1
2019,Fevereiro,2019/02/26 04:15:00,BAHIA,0.6,0
2019,Fevereiro,2019/02/26 04:15:00,BAHIA,0.15,0
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.98,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,0.98,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/26 05:50:00,RORAIMA,1,1
2019,Fevereiro,2019/02/27 04:55:00,RORAIMA,1,1
2019,Fevereiro,2019/02/27 04:55:00,RORAIMA,1,1
2019,Fevereiro,2019/02/27 04:55:00,RORAIMA,1,1
2019,Fevereiro,2019/02/27 04:55:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 04:05:00,BAHIA,0.01,0
2019,Fevereiro,2019/02/28 04:05:00,BAHIA,0.61,0
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,0.93,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,0.93,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,0.93,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,0.93,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,0.93,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,0.93,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,0.93,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
2019,Fevereiro,2019/02/28 05:40:00,RORAIMA,1,1
ano,mes,datahora,estado,riscofogo,riscoAbsoluto
2019,Marco,2019/02/01 04:20:00,PERNAMBUCO,0.75,1
2019,Marco,2019/02/01 04:20:00,BAHIA,1,1
2019,Marco,2019/02/01 04:20:00,SERGIPE,1,1
2019,Marco,2019/02/01 04:20:00,SERGIPE,1,1
2019,Marco,2019/02/01 04:20:00,TOCANTINS,0.35,0
2019,Marco,2019/02/01 04:25:00,MINAS GERAIS,,0
2019,Marco,2019/02/01 04:25:00,BAHIA,0.57,0
2019,Marco,2019/02/01 04:25:00,BAHIA,0.57,0
2019,Marco,2019/02/01 04:25:00,MINAS GERAIS,0.52,0
2019,Marco,2019/02/01 04:25:00,MINAS GERAIS,1,1
2019,Marco,2019/02/01 04:25:00,MINAS GERAIS,0.5,0
2019,Marco,2019/02/01 04:25:00,RIO DE JANEIRO,1,1
2019,Marco,2019/02/01 04:25:00,RIO DE JANEIRO,1,1
2019,Marco,2019/02/01 04:25:00,RIO DE JANEIRO,1,1
2019,Marco,2019/02/01 04:25:00,SAO PAULO,1,1
2019,Marco,2019/02/01 04:25:00,SAO PAULO,1,1
2019,Marco,2019/02/01 04:25:00,SAO PAULO,1,1
2019,Marco,2019/02/01 04:25:00,SAO PAULO,0.04,0
2019,Marco,2019/02/01 04:25:00,SAO PAULO,1,1
2019,Marco,2019/02/01 05:55:00,RORAIMA,0.69,0
2019,Marco,2019/02/01 05:55:00,RORAIMA,0.78,1
2019,Marco,2019/02/02 05:05:00,MATO GROSSO,0.68,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO,0.68,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO,0.67,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO,0.66,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO,0.66,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO,0.66,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO,0.67,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO,0.66,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO DO SUL,0.15,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO DO SUL,0.16,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO DO SUL,0.17,0
2019,Marco,2019/02/02 05:05:00,MATO GROSSO DO SUL,0.16,0
2019,Marco,2019/02/02 05:05:00,GOIAS,0,0
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,0.69,0
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,0.63,0
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,0.63,0
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,0.63,0
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/02 05:10:00,MATO GROSSO DO SUL,1,1
2019,Marco,2019/02/03 04:10:00,MINAS GERAIS,1,1
2019,Marco,2019/02/03 04:10:00,MINAS GERAIS,0.65,0
2019,Marco,2019/02/03 04:10:00,MINAS GERAIS,0.65,0
2019,Marco,2019/02/03 04:10:00,MINAS GERAIS,0.58,0
2019,Marco,2019/02/03 04:10:00,ESPIRITO SANTO,1,1
2019,Marco,2019/02/03 04:10:00,MINAS GERAIS,1,1
2019,Marco,2019/02/03 04:10:00,MINAS GERAIS,0.68,0
2019,Marco,2019/02/03 04:10:00,BAHIA,1,1
2019,Marco,2019/02/03 04:10:00,ESPIRITO SANTO,1,1
2019,Marco,2019/02/03 04:10:00,MINAS GERAIS,1,1
2019,Marco,2019/02/03 05:45:00,RORAIMA,0.79,1
2019,Marco,2019/02/04 04:50:00,PARA,0.15,0
2019,Marco,2019/02/04 04:50:00,PARA,0.15,0
2019,Marco,2019/02/04 04:50:00,PARA,0.15,0
2019,Marco,2019/02/04 04:55:00,MINAS GERAIS,0.6,0
2019,Marco,2019/02/04 04:55:00,MINAS GERAIS,0.6,0
2019,Marco,2019/02/04 04:55:00,MATO GROSSO DO SUL,0.76,1
2019,Marco,2019/02/04 04:55:00,MATO GROSSO DO SUL,0.85,1
2019,Marco,2019/02/04 04:55:00,MATO GROSSO DO SUL,0.92,1
2019,Marco,2019/02/04 04:55:00,MATO GROSSO DO SUL,0.93,1
2019,Marco,2019/02/04 04:55:00,MATO GROSSO DO SUL,0.92,1
2019,Marco,2019/02/04 04:55:00,MATO GROSSO DO SUL,0.92,1
2019,Marco,2019/02/04 04:55:00,MATO GROSSO DO SUL,0.91,1
2019,Marco,2019/02/04 04:55:00,MATO GROSSO DO SUL,0.93,1
2019,Marco,2019/02/04 04:55:00,MATO GROSSO DO SUL,0.91,1
2019,Marco,2019/02/04 04:55:00,MATO GROSSO DO SUL,0.91,1
2019,Marco,2019/02/05 04:00:00,BAHIA,0.93,1
2019,Marco,2019/02/05 05:30:00,RORAIMA,0.99,1
2019,Marco,2019/02/05 05:30:00,RORAIMA,0.97,1
2019,Marco,2019/02/07 05:20:00,RORAIMA,0.94,1
2019,Marco,2019/02/07 05:20:00,RORAIMA,1,1
2019,Marco,2019/02/07 05:20:00,RORAIMA,1,1
2019,Marco,2019/02/07 05:20:00,RORAIMA,1,1
2019,Marco,2019/02/07 05:20:00,RORAIMA,0.83,1
2019,Marco,2019/02/07 05:20:00,RORAIMA,0.83,1
2019,Marco,2019/02/07 05:25:00,MATO GROSSO,0,0
2019,Marco,2019/02/08 04:30:00,SAO PAULO,0.99,1
2019,Marco,2019/02/08 04:30:00,SAO PAULO,1,1
2019,Marco,2019/02/08 04:30:00,SAO PAULO,1,1
2019,Marco,2019/02/08 04:30:00,SAO PAULO,1,1
2019,Marco,2019/02/09 05:10:00,RORAIMA,1,1
2019,Marco,2019/02/09 05:10:00,RORAIMA,1,1
2019,Marco,2019/02/09 05:10:00,RORAIMA,1,1
2019,Marco,2019/02/09 05:15:00,MATO GROSSO DO SUL,0.46,0
2019,Marco,2019/02/10 04:15:00,MINAS GERAIS,0.01,0
2019,Marco,2019/02/10 04:15:00,BAHIA,0.06,0
2019,Marco,2019/02/10 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/10 05:50:00,RORAIMA,0.47,0
2019,Marco,2019/02/11 04:55:00,PARA,0.05,0
2019,Marco,2019/02/11 04:55:00,PARA,0.05,0
2019,Marco,2019/02/11 04:55:00,RORAIMA,1,1
2019,Marco,2019/02/11 04:55:00,RORAIMA,1,1
2019,Marco,2019/02/11 04:55:00,RORAIMA,1,1
2019,Marco,2019/02/11 04:55:00,RORAIMA,1,1
2019,Marco,2019/02/11 04:55:00,RORAIMA,1,1
2019,Marco,2019/02/12 04:05:00,BAHIA,0.43,0
2019,Marco,2019/02/12 04:05:00,BAHIA,0.42,0
2019,Marco,2019/02/12 04:05:00,BAHIA,0.42,0
2019,Marco,2019/02/12 04:05:00,BAHIA,0.42,0
2019,Marco,2019/02/12 04:05:00,BAHIA,0.42,0
2019,Marco,2019/02/12 04:05:00,BAHIA,0.15,0
2019,Marco,2019/02/12 04:05:00,MINAS GERAIS,0.15,0
2019,Marco,2019/02/12 04:05:00,BAHIA,0.27,0
2019,Marco,2019/02/12 04:05:00,ESPIRITO SANTO,1,1
2019,Marco,2019/02/12 04:05:00,ESPIRITO SANTO,1,1
2019,Marco,2019/02/12 04:05:00,BAHIA,0.92,1
2019,Marco,2019/02/12 05:40:00,RORAIMA,1,1
2019,Marco,2019/02/12 05:40:00,RORAIMA,1,1
2019,Marco,2019/02/12 05:45:00,MATO GROSSO DO SUL,0.98,1
2019,Marco,2019/02/12 05:45:00,MATO GROSSO DO SUL,0.98,1
2019,Marco,2019/02/12 05:45:00,MATO GROSSO DO SUL,0.97,1
2019,Marco,2019/02/12 05:45:00,MATO GROSSO DO SUL,0.98,1
2019,Marco,2019/02/12 05:45:00,MATO GROSSO DO SUL,0.98,1
2019,Marco,2019/02/12 05:45:00,MATO GROSSO DO SUL,0,0
2019,Marco,2019/02/12 05:45:00,MATO GROSSO DO SUL,0,0
2019,Marco,2019/02/12 05:45:00,MATO GROSSO DO SUL,0,0
2019,Marco,2019/02/14 03:50:00,BAHIA,0.35,0
2019,Marco,2019/02/14 03:50:00,BAHIA,0.56,0
2019,Marco,2019/02/14 03:50:00,BAHIA,0.61,0
2019,Marco,2019/02/14 03:50:00,BAHIA,0.29,0
2019,Marco,2019/02/14 05:25:00,RORAIMA,1,1
2019,Marco,2019/02/14 05:25:00,RORAIMA,1,1
2019,Marco,2019/02/14 05:25:00,RORAIMA,1,1
2019,Marco,2019/02/16 05:15:00,RORAIMA,1,1
2019,Marco,2019/02/16 05:15:00,RORAIMA,1,1
2019,Marco,2019/02/16 05:15:00,RORAIMA,1,1
2019,Marco,2019/02/17 04:25:00,MINAS GERAIS,0,0
2019,Marco,2019/02/17 05:55:00,RORAIMA,0.65,0
2019,Marco,2019/02/17 05:55:00,RORAIMA,1,1
2019,Marco,2019/02/17 05:55:00,RORAIMA,1,1
2019,Marco,2019/02/17 05:55:00,RORAIMA,1,1
2019,Marco,2019/02/17 05:55:00,RORAIMA,1,1
2019,Marco,2019/02/17 05:55:00,RORAIMA,1,1
2019,Marco,2019/02/18 03:25:00,ALAGOAS,1,1
2019,Marco,2019/02/19 05:45:00,RORAIMA,0.84,1
2019,Marco,2019/02/19 05:45:00,RORAIMA,0.84,1
2019,Marco,2019/02/19 05:45:00,RORAIMA,1,1
2019,Marco,2019/02/19 05:45:00,RORAIMA,1,1
2019,Marco,2019/02/19 05:45:00,RORAIMA,1,1
2019,Marco,2019/02/21 04:00:00,BAHIA,0.55,0
2019,Marco,2019/02/21 04:00:00,BAHIA,0.55,0
2019,Marco,2019/02/21 04:00:00,BAHIA,0.44,0
2019,Marco,2019/02/21 04:00:00,BAHIA,0.83,1
2019,Marco,2019/02/21 04:00:00,BAHIA,0.21,0
2019,Marco,2019/02/21 04:00:00,BAHIA,0.06,0
2019,Marco,2019/02/21 04:00:00,BAHIA,0.4,0
2019,Marco,2019/02/21 04:00:00,BAHIA,0.4,0
2019,Marco,2019/02/21 04:00:00,BAHIA,0.39,0
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,1,1
2019,Marco,2019/02/21 05:30:00,RORAIMA,0.83,1
2019,Marco,2019/02/23 05:20:00,RORAIMA,0.86,1
2019,Marco,2019/02/23 05:20:00,RORAIMA,1,1
2019,Marco,2019/02/23 05:20:00,RORAIMA,1,1
2019,Marco,2019/02/23 05:20:00,RORAIMA,1,1
2019,Marco,2019/02/23 05:20:00,RORAIMA,0.95,1
2019,Marco,2019/02/23 05:20:00,RORAIMA,0.98,1
2019,Marco,2019/02/23 05:20:00,RORAIMA,0.98,1
2019,Marco,2019/02/23 05:20:00,RORAIMA,1,1
2019,Marco,2019/02/23 05:20:00,PARA,0.08,0
2019,Marco,2019/02/24 04:30:00,SAO PAULO,1,1
2019,Marco,2019/02/24 04:30:00,MINAS GERAIS,0.26,0
2019,Marco,2019/02/24 06:05:00,RORAIMA,1,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,1,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,1,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,1,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,0.94,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,0.94,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,0.94,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,0.94,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,0.96,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,0.97,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,0.97,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,1,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,1,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,1,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,1,1
2019,Marco,2019/02/24 06:05:00,RORAIMA,1,1
2019,Marco,2019/02/25 03:35:00,MINAS GERAIS,0.1,0
2019,Marco,2019/02/25 05:10:00,RORAIMA,1,1
2019,Marco,2019/02/25 05:10:00,RORAIMA,1,1
2019,Marco,2019/02/25 05:10:00,RORAIMA,1,1
2019,Marco,2019/02/25 05:10:00,RORAIMA,1,1
2019,Marco,2019/02/25 05:10:00,RORAIMA,1,1
2019,Marco,2019/02/25 05:10:00,RORAIMA,1,1
2019,Marco,2019/02/25 05:10:00,RORAIMA,1,1
2019,Marco,2019/02/25 05:10:00,RORAIMA,0.89,1
2019,Marco,2019/02/26 04:15:00,BAHIA,0.6,0
2019,Marco,2019/02/26 04:15:00,BAHIA,0.15,0
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.91,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.98,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,0.98,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
2019,Marco,2019/02/26 05:50:00,RORAIMA,1,1
